Year,LocationAbbr,LocationDesc,GeographicLevel,DataSource,Class,Topic,Data_Value,Data_Value_Unit,Data_Value_Type,Data_Value_Footnote_Symbol,Data_Value_Footnote,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,TopicID,LocationID,Location 1
2014,MA,Berkshire County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,301.4,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Overall,Race/Ethnicity,Overall,T2,25003,"(42.370735, -73.20077)"
2014,MA,Bristol County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,303.9,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Overall,Race/Ethnicity,Overall,T2,25005,"(41.801087, -71.120082)"
2014,MA,Barnstable County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,285,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Overall,Race/Ethnicity,Overall,T2,25001,"(41.728449, -70.299466)"
2014,MA,Dukes County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,274.8,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Overall,Race/Ethnicity,Overall,T2,25007,"(41.382239, -70.645265)"
2014,MA,Essex County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,270.8,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Overall,Race/Ethnicity,Overall,T2,25009,"(42.66825, -70.947877)"
2014,MA,Franklin County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,289.7,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Overall,Race/Ethnicity,Overall,T2,25011,"(42.581073, -72.585851)"
2014,MA,Hampden County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,295.1,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Overall,Race/Ethnicity,Overall,T2,25013,"(42.132769, -72.629706)"
2014,MA,Hampshire County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,290.2,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Overall,Race/Ethnicity,Overall,T2,25015,"(42.339412, -72.663762)"
2014,MA,Middlesex County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,237.4,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Overall,Race/Ethnicity,Overall,T2,25017,"(42.479929, -71.393454)"
2014,MA,Nantucket County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,272.8,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Overall,Race/Ethnicity,Overall,T2,25019,"(41.28245, -70.062242)"
2014,MA,Norfolk County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,259,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Overall,Race/Ethnicity,Overall,T2,25021,"(42.155308, -71.217711)"
2014,MA,Plymouth County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,298.7,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Overall,Race/Ethnicity,Overall,T2,25023,"(41.947911, -70.806362)"
2014,MA,Suffolk County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,249.3,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Overall,Race/Ethnicity,Overall,T2,25025,"(42.333204, -71.072183)"
2014,MA,Worcester County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,289,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Overall,Race/Ethnicity,Overall,T2,25027,"(42.347911, -71.907684)"
2014,MA,Barnstable County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,365.3,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Male,Race/Ethnicity,Overall,T2,25001,"(41.728449, -70.299466)"
2014,MA,Berkshire County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,405.2,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Male,Race/Ethnicity,Overall,T2,25003,"(42.370735, -73.20077)"
2014,MA,Bristol County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,391.9,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Male,Race/Ethnicity,Overall,T2,25005,"(41.801087, -71.120082)"
2014,MA,Dukes County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,350.2,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Male,Race/Ethnicity,Overall,T2,25007,"(41.382239, -70.645265)"
2014,MA,Essex County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,347.1,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Male,Race/Ethnicity,Overall,T2,25009,"(42.66825, -70.947877)"
2014,MA,Franklin County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,376.4,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Gender,Male,Race/Ethnicity,Overall,T2,25011,"(42.581073, -72.585851)"
