Tract ID,e(0)
25001010100,78.7
25001010206,82.2
25001010304,79
25001010306,80.3
25001010400,82.2
25001010500,81.9
25001010600,80.6
25001010700,80.2
25001010800,79.4
25001010900,81.3
25001011002,77
25001011100,79.3
25001011200,80.3
25001011300,78.8
25001011400,81.4
25001011500,84.1
25001011600,75.8
25001011700,79.9
25001011801,84.9
25001011802,79.5
25001012001,80.5
25001012002,76.4
25001012101,78.4
25001012102,77.2
25001012200,84.4
25001012502,81.5
25001012601,79
25001012602,74.9
25001012700,79.3
25001012900,81
25001013002,84.3
25001013100,81.9
25001013200,83.4
25001013300,82.4
25001013400,83.7
25001013500,83.6
25001013600,78.7
25001013800,83.3
25001013900,80.5
25001014002,87.3
25001014402,81.4
25001014500,80.5
25001014600,81
25001014700,79.8
25001014800,75.5
25001014900,84.3
25001015001,80.7
25001015002,79
25001015100,81.3
25001015200,79.9
25001015300,69.9
25003900100,71
25003900200,73.1
25003900300,73.9
25003900400,80.9
25003900500,75.9
25003900600,74.3
25003900700,75
25003900800,82.6
25003900900,81.1
25003901100,79.5
25003911100,86.6
25003912100,80.4
25003913100,82.8
25003914100,79.2
25003920101,83.1
25003920102,81.8
25003921300,76.2
25003921400,76.6
25003921500,79.2
25003922100,75.4
25003922200,78.5
25003922300,80.3
25003923100,82.1
25003925100,80.6
25003926100,86.3
25003931100,78.1
25003931300,84.4
25003931400,86.1
25003932200,82.4
25003932300,80.9
25003933200,80.7
25003933300,87.5
25003933400,83.6
25003934200,82.4
25003934300,83.1
25003935100,82.4
25003935200,83.5
25003935300,78.1
25005600100,79.3
25005600202,80.2
25005600203,80.1
25005600204,80.3
25005610100,78.2
25005610202,83.1
25005610203,82.4
25005610204,78.4
25005611101,79.5
25005611102,80.6
25005611201,79.6
25005611202,79.2
25005612100,81.3
25005612200,79.9
25005613100,79.4
25005613300,79.9
25005613400,78.3
25005613600,78.3
25005613700,77.1
25005613800,74.4
25005613901,77.9
25005613902,83.7
25005614000,77.3
25005614101,77.5
25005614102,78.7
25005615100,83.1
25005617101,83.2
25005617102,81.3
25005630101,78.2
25005630102,74.7
25005630200,79.6
25005630300,80
25005630400,81.2
25005631100,80.3
25005631200,80
25005631300,79.5
25005631400,73.5
25005631500,77.9
25005631600,75.4
25005631700,77.9
25005631800,79.4
25005632100,83.7
25005632200,80.7
25005633100,83.6
25005633200,81.6
25005640100,78.2
25005640200,75.9
25005640300,82.2
25005640400,77.5
25005640500,74.2
25005640600,74.8
25005640700,80.2
25005640800,80.6
25005640901,76.4
25005641000,75.6
25005641101,69.5
25005641200,74.5
25005641300,78.2
25005641400,77.4
25005641500,72.8
25005641600,76.2
25005641700,75.9
25005641800,77.1
25005641900,71.8
25005642000,74.5
25005642200,72.9
25005642300,80.8
25005642400,79.1
25005642500,79.1
25005644101,80.4
25005644102,81.9
25005644200,78.8
25005645101,79.2
25005645102,80.7
25005645103,80.1
25005646101,80.6
25005646103,80.5
25005646104,82.1
25005650101,76.7
25005650102,80.9
25005650201,80.4
25005650202,79.9
25005650300,78.4
25005650400,76.4
25005650500,80.2
25005650600,81
25005650700,68.1
25005650800,74.9
25005650900,78
25005651001,77.5
25005651002,76.8
25005651100,75.3
25005651200,77.5
25005651300,77.5
25005651400,73.8
25005651500,80.5
25005651600,78.8
25005651700,75.7
25005651800,69.6
25005651900,74.7
25005652000,74.2
25005652100,77.4
25005652200,80.2
25005652300,77.9
25005652400,80.2
25005652500,76.7
25005652600,73.4
25005652700,73.3
25005652800,81.8
25005653101,81.6
25005653102,79.3
25005653203,81
25005653204,80.1
25005653301,82
25005653304,83.1
25005654100,83.2
25005654200,81.8
25005655100,79.3
25005655200,77.8
25005655300,78
25005655400,80.2
25005985600,81.4
25007200100,79.2
25007200200,81.1
25007200300,84.1
25007200400,80.7
25009201100,82.3
25009202101,84.9
25009202102,82.9
25009202200,84.4
25009203100,81.4
25009203200,87.3
25009203301,90.2
25009203302,83.4
25009204101,83.8
25009204102,82
25009204200,76.5
25009204300,83.1
25009204500,81.1
25009204600,82.6
25009204701,81.1
25009204702,78.3
25009205100,78.7
25009205200,77.7
25009205300,78.8
25009205400,80.6
25009205500,81.7
25009205600,78.8
25009205700,79.9
25009205800,78.8
25009205900,79.7
25009206000,78.5
25009206100,75.6
25009206200,81.4
25009206300,78.9
25009206400,77.4
25009206500,74.2
25009206600,79.8
25009206700,76.7
25009206800,76.7
25009206900,76.5
25009207000,76
25009207100,76.2
25009207200,77.6
25009208101,80.5
25009208102,78.7
25009208200,78.8
25009208300,79.3
25009208400,84
25009209100,82.9
25009209200,83.9
25009210100,81.5
25009210200,82.4
25009210300,79.1
25009210400,84.9
25009210500,80.9
25009210600,81
25009210700,77.6
25009210800,79.3
25009210900,78.9
25009211100,79.9
25009211200,83.4
25009211300,79.8
25009211401,78.1
25009211402,82.3
25009212100,82.3
25009214100,84.5
25009215101,85.9
25009215102,84.3
25009216100,82
